userid,username,booktag
10029,PeachOrange,"['养生', '塑身饮食', '健康', '瘦', '减肥美容', '饮食', '女性', '邱锦伶','马伯庸', '小说', '历史', '唐朝', '长安十二时辰', '鬼才之思', '悬疑', '架空小说','狗狗', '导盲犬', '石黑谦吾', '日本', '温暖', '我就要忘记你了', '日本文学', '爱','芒果街上的小屋', '桑德拉·希斯内罗丝', '外国文学', '成长', '小说', '美国', '文学', '芒果街','治愈', '我想读这本书', '想读，一定很精彩！', '小说', '情感', '外国文学', '弗雷德里克·巴克曼', '瑞典文学','吉米·哈利', '英国', '外国文学', '自然', '动物', '万物既伟大又渺小', '小说', '英国文学','绘本', '旅行', '巴黎', '一只猫的巴黎晃悠', '日本', '藤野优哉', '猫', '巴黎旅行','渡边淳一', '日本文学', '日本', '小说', '爱情', '重口味', '泡沫', '婚外恋']"
10030,春夏秋冬,"['是枝裕和', '日本', '随笔', '电影', '日本文学', '電影筆記', '散文', '2014','汪涵', '随笔', '民俗', '文化', '有味', '民俗文化', '散文', '生活']"
10031,浅裟,"['人力资源', '招聘', '面试', '招聘技巧', '心理', '故去预测未来——行为面试法', 'HR', '思维','历史', '唐德刚', '袁世凯', '民国', '中国近代史', '近代史', '中国历史', '袁氏当国','历史', '三国', '文化史', '非常棒的一本书', '刘轩鸿', '想读，一定很精彩！', '我想读这本书', '好书，值得一读']"
10032,pineapple啊,"['亦舒', '小说', '吃南瓜的人', '香港', '爱情', '师太', '言情', '女性','亦舒', '小说', '如何说再见', '香港', '师太', '言情', '爱情', '亦舒系列（長篇）','亦舒', '小说', '香港', '言情', '师太', '塔里的六月', '爱情', '香港文学']"
10033,kuuu,"['阅读方法', '学习方法', '读书', '自我提升', '阅读', '学习', '自我成长', '方法论','知识管理', '个人管理', '时间管理', '印象笔记', '自我管理', '学习方法', '方法论', 'GTD','心灵成长', '鼹鼠的土豆', '我想读这本书', '励志', '美好的东西', '好书，值得一读', '自我完善', '文艺女青年','散文', '曹乃谦', '小说', '当代文学', '签名本', '当代', '人民文学出版社', '中国']"
10034,jtwo,"['埃勒里·奎因', '推理', '美国', '悲剧系列', '午夜文库', '古典推理', '小说', '新星出版社','周德东', '恐怖', '恐怖小说', '小说', '悬疑', '惊悚', '中国', '黑段子','PhD', '学术', '传记', '美国', '方法论', 'ComputerScience', '计算机', 'Biography','肯·福莱特', '悬疑', '间谍', '外国文学', '小说', '英国文学', '二战', '英国','悬疑', '小说', '外国文学', '英国', '我想读这本书', '想读，一定很精彩！', '犯罪', '菲欧娜·巴顿']"
10035,长安,"['悬疑推理', '推理', '心理学', '好书，值得一读', '想读，一定很精彩！', '破案', '我想读这本书', '因为喜欢书，所以想看看！','育儿', '儿童教育', '教育', '家庭教育', '教育下一代的人', '沟通', 'kids', '语言学习','心理学', '两性', '心理', '实用', '科学', '社会学', '思维', '趣味科普','育儿', '教育', '孙瑞雪', '儿童教育', '心理学', '幼儿教育', '心理', '爱','灵修', '张德芬', '心灵', '成长', '心理学', '修行', '身心灵', '治愈','英语学习', '语言', '童书', '自然拼读', '教育', '浪花朵朵', '英语', '推荐绘本','匪我思存', '言情', '佳期如梦之海上繁花', '小说', '爱情', '现代都市', '海上繁花', '网络小说','母女关系', '心理学', '女性', '自我成长', '心理', '育儿', '生活', '日本']"
10036,XGBL,"['nan','东野圭吾', '推理', '日本', '東野圭吾', '小说', '伽利略系列', '推理小说', '日本文学']"
10037,李-慕-慕,"['漫画','南海十三郎', '杜国威', '舞台剧', '剧本', '香港', '谢君豪', '天才', '雪山白凤凰','亦舒', '我们不是天使', '小说', '香港', '师太', '言情', '爱情', '文学']"
10038,緒に,"['艺术', '后浪', '经典', '艺术史', '文化', '反正都买不起', '2018', '***后浪***','科幻', '特德·姜', '科幻小说', '小说', '美国', '降临', '语言', '外国文学','绘本', '属于一个人的生活', '奥地利', '人生', '哲学', '儿童文学', '漫画', '现代外国文学','理查德·耶茨', '十一种孤独', '小说', '外国文学', '美国', '美国文学', '孤独', '文学']"
10039,willasun,"['自我管理', '个人管理', '微习惯', '习惯', '行为学', '心理学', '自我成长', '管理','两性', '夫妻间', '有趣', '日本', '教学', '哈哈哈','植物', '博物学', '自然', '科普', '刘华杰', '博物', '植物之书', '草木','育儿', '亲子', '教育', '儿童教育', '儿童', '宝宝', '做人', '*北京·中信出版社*','教育','松浦弥太郎', '生活', '生活方式', '日本', '自我管理', '随笔', '生活的意义', '日本文学','心理学', '武志红', '成长', '心理', '自我修炼', '个人管理', '不完美', '生活','绘本', '儿童文学', '儿童绘本', '童书', '科普', '后浪', '浪花朵朵', '儿童']"
10040,【已注销】,"['心理学', 'NLP', '社科', '@心理学', '2017','中国经济', '经济学', '美国', '阿文德·萨博拉曼尼安', '政治', '中国', '货币政策', '社会学','冷读术', '心理学', '石井裕之', '心理學', '社交', '社交心理学', '冷读', '日本','刘墉', '处世', '人际交往', '口才', '说话', '沟通', '职场', '自我管理','冷读术', '心理学', '石井裕之', '社交心理', '话术', '心理', '女性', '哒哒','C++', '编程', '计算机', '程序设计', 'C/C++', '经典', '经典教材', '经典之作']"
10041,也许像星星,"['伦理学', '哲学', '道德哲学', '通识', '道德', '思想', '伦理', '雷切尔斯','诗词', '纳兰性德', '古典文學', '纳兰容若', '中國文學', '中国古典文学', '诗歌', '情感','德国', '二战', '小说', '德国文学', '爱情', '本哈德·施林克', '朗读者', '外国文学','逻辑', '科普', '哲学', '推理', '思维', '悖论', '逻辑学', '科学','青崎有吾', '推理', '日系推理', '日本', '日本推理', '推理小说', '小说', '民翻','简媜', '散文', '台湾', '散文随笔', '台湾文学', '水问', '女性', '清欢']"
10042,韩安娜呀,"['生活', '气质', '成长', '形象', '品味养成', '当代散文', '工作需要','郭敬明', '小时代2.0', '小说', '青春', '青春文学', '小时代', '小四', '中国']"
10043,惡霸叔叔唐老鵝,"['历史', '钱穆', '国史大纲', '中国历史', '国学', '经典', '中国史', '中国','funny', '搞笑','余世存', '历史', '家庭', '家世', '社会', '教育', '社会学', '民国']"
10045,🌺Miss.E,"['艾丽丝·门罗', '逃离', '小说', '外国文学', '诺贝尔文学奖', '文学', '心理', '短篇小说集']"
10046,爻又,"['博物', '自然散文', '科普', '自然史', '自然', '人文', '博物学经典作品', '英国','水彩', '建筑', '水彩画', '绘画', '画', '建筑水彩', '教材', '艺术']"
10047,我的猫叫吃屎,"['运营', '互联网运营', '互联网', '运营干货', '产品运营', '产品经理', '张亮', '商业','女性', '励志', '女人明白要趁早', '成长', '王潇', '潇洒姐', '职场', '生活','传记', '维基解密', '阿桑奇', '朱利安·阿桑奇', '自传', '人物传记', '美国', '文学','绘本', '妖怪', '画集', '画集&插画', 'sheep', '中国', '艺术', '日本','山本文绪', '日本', '日本文学', '小说', '31岁又怎样', '治愈系', '女性', '心灵','拖延症', '心理学', '结构拖延法', '心理', '美国', '拖拉症', '结构化拖延法', '拖延症患者','苹果', 'Apple', '商业', '设计', '公司', '创业', '用户体验', '设计理论','版面设计', '版式设计', '设计', '报纸', '编辑出版', '平面设计', 'Design', '编辑']"
10048,厂花花花,"['乔治·奥威尔', '随笔', '英国', '外国文学', '我为什么要写作', '文学', '奥威尔', '写作','北岛', '散文', '随笔', '中国文学', '午夜之门', '中国', '散文随笔', '文学','人工智能', '未来学', '计算机', '科普', '奇点临近', '科学', '奇点', '进化','今村昌平', '电影', '日本', '传记', '日本文学', '随笔', '草疯长', '文化','科幻', '科幻小说', '刘宇昆', '小说', '哲学思考', '我想读这本书', '文学', '思维','社会学', '郑也夫', '文明', '人文', '社科', '文化', '我想读这本书', '罗辑思维','科幻', '安德系列', '小说', '美国', '奥森·斯科特·卡德', '科幻小说', '安德的游戏', '文学','马基雅维利', '政治学', '政治', '君主论', '哲学', '意大利', '历史', '汉译世界学术名著丛书']"
10049,噫旴戲,"['心理学', '弗洛姆', '爱的艺术', '哲学', '爱情', '心理', '情感', '心智','马尔库塞', '哲学', '法兰克福学派', '社会学', '西方哲学', '社会', '思想', '文化','汪曾祺', '好书，值得一读', '跟汪老一起享受生活吧', '美食', '散文', '文学', '我想读这本书', '想读，一定很精彩！','童话', '王尔德', '奥斯卡·王尔德', '外国文学', '英国文学', '文学', '经典', '英国']"
10050,且听风吟,"['摇滚', '音乐', '西安', '我想读这本书', '好书，值得一读', '许巍', '闲适生活', '文化']"
10051,EllyGirlSun,"['唐七公子', '三生三世', '枕上书', '言情', '小说', '仙侠', '凤九', '唐七','青梅竹马', '言情', '小说', '忆锦', '温暖', '现言', '小白', '晋江','溥仪', '传记', '历史', '回忆录', '我的前半生', '清史', '人物传记', '中国','时简', '言情', '随侯珠', '小说', '叶珈成', '易霈', '旧时光', '现代都市']"
10052,RuC_,"['布罗茨基', '散文', '外国文学', '文学', '随笔', '美国文学', '俄罗斯', '诗歌','课本', '考高分必备', '教材', '中国','写作', '写作指导宝书', '文学', '陈崇正', '写作宝典', '豆瓣阅读', '豆瓣阅读专栏', '很有感觉，想入非非感']"
10053,的确凉,"['小说', '成长', '美国', '罗伯特·麦卡蒙', '悬疑', '外国文学', '美国文学', '奇幻','异形', '电影', '科幻', '设定集', '画集', '电影资料', '画集资料集', '英国','外国文学', '小说', '芭芭拉·金索沃', '美国文学', '文学', '美国', '***新经典***', '2017','心理学', '死亡', '死亡回忆', '死亡回忆：濒死体验访谈录', '神秘', '纪实', '灵学', '美国','博尔赫斯', '豪尔赫·路易斯·博尔赫斯', '小说', '阿根廷', '文学', '*上海译文出版社*', '小隐推荐', '外国文学','俄国文学', '小说', '外国文学', '文学', '俄罗斯', '阿斯塔菲耶夫', '苏俄文学', '理想国','斯蒂芬·金', '小说', '美国', '悬疑', '丽赛的故事', '惊悚', '外国文学', '恐怖','小说', '青春', '布思・塔金顿', '美国', '十七岁', '成长', '外国文学', '美国文学','格雷厄姆-格林', '小说', '英国', '格雷厄姆·格林', '外国文学', '爱情', '英国文学', '恋情的终结']"
10054,云嘶嘶,"['太宰治', '日本文学', '日本', '人间失格', '小说', '人性', '文学', '外国文学','百年孤独', '加西亚·马尔克斯', '魔幻现实主义', '外国文学', '小说', '经典', '名著', '文学','爱情', '爱情故事', '方悄悄', '小说', '豆瓣阅读', '『短篇集』', '随笔', '2016','独特的世界观', '心理学', '特殊群体', '心理', '思维', '思考', '好书，值得一读', '我想读这本书']"
10055,六角,"['visual', 'culture', '視覺文化理論', 'Photography', '视觉文化', '视觉', '美国', 'Mirzoeff','art', '设计', '艺术理论', 'design', 'Design', 'Munari', 'Bruno_Munari', '设计-选题','architecture+history', '建筑理论', '建筑', 'Body', 'Architecture', '建筑系', 'body', 'Architectural_Theory','设计', '平面设计', 'Vector', 'illustrator', 'AI', '工具书_视觉设计', 'design', '计算机科学','绘画', '手绘', '艺术', '水彩', '速写', '美术', '学画', '菲利大叔','画册', '科学画风', '没事读读', '我的波塔尼']"
10056,nonosaid,"['阿瑟.黑利', '阿瑟·黑利', '行业小说', '小说', '外国文学', '外国', '加拿大', '管理','加西亚·马尔克斯', '自传', '传记', '马尔克斯', '外国文学', '回忆录', '拉美文学', '哥伦比亚','photoshop', '设计', 'ps', '艺术', '摄影', '以假乱真', '教材', '教程','绘本', '治愈', '漫画', '❤温暖❤', '治愈系', '我可以咬一口吗', '我想读这本书', '美国','纳兰容若', '纳兰词', '诗词', '古典诗词', '评注', '古典', '纳兰性德', '文学']"
10057,IslaLEE,"['英国', '政治', '讽刺', '小说', '英国文学', '外国文学', '文学', 'yesminister!','历史', '新知文库', '动物', '狗', '三联', '狗狗', '随笔', '人类学','加缪', '存在主义', '小说', '法国', '局外人', '外国文学', '法国文学', '诺贝尔文学奖','福楼拜', '外国文学', '包法利夫人', '法国', '小说', '法国文学', '名著', '经典']"
10059,尤物,"['三毛', '散文', '随笔', '台湾', '生活', '旅行', '中国文学', '文学','人生', '哲学', '狗剩爹', '成长', '思维方式', '随笔', '散文', '鸡汤','林清玄', '散文', '台湾', '禅', '清欢', '中国文学', '随笔', '文学','日本', '庭院', '理想生活', '生活', '随笔', '京都', '英国', '自然']"
10060,MAAN,"['巴尔扎克', '人间喜剧', '小说', '法国文学', '外国文学', '法国', '文学', '经典','短篇小说集', '爱情', '爱情故事', '小说', '中国文学', '刘丽朵', '青春文学', '散文','胡安·拉蒙·希梅内斯', '外国文学', '西班牙', '我想读这本书', '西班牙文学', '好书，值得一读', '想读', '想读，一定很精彩！','吉尔莫·德尔·托罗', 'messi','艺术', '艺术心理学', '心理学', '传记','马良', '献给勇于直面幻灭的理想主义者', '随笔', '文学', '马良、观念艺术', '生活', '好书，值得一读', '艺术','汪曾祺', '散文', '随笔', '人间草木', '中国文学', '散文随笔', '文学', '闲淡','俄罗斯文学', '经典中的经典', '外国文学', '非常期待', '文化', '经典', '普希金', '文化研究']"
10061,是個甜心哟,"['梭罗', '瓦尔登湖', '外国文学', '散文', '纯净', '随笔', '美国', '文学','心理学', '占星学', '占星', '灵修', '胡因梦', '生命的轨迹', '心理', '业力','史铁生', '散文', '我与地坛', '中国文学', '随笔', '当代文学', '文学', '中国','宫部美雪', '推理', '日本', '日本推理', '小说', '推理小说', '所罗门的伪证', '日本文学','卡尔维诺', '看不见的城市', '意大利', '外国文学', '小说', '文学', '意大利文学', '城市','诗歌', '聂鲁达', '外国文学', '诗', '巴勃罗·聂鲁达', '拉美文学', '拉美', '智利文学','亨利·米勒', '外国文学', '小说', '美国文学', '美国', '北回归线', '自传三部曲', '文学','科幻', '科幻小说', '科幻经典', '弗兰克·赫伯特', '小说', '外国文学', '经典', '沙丘系列','三岛由纪夫', '日本文学', '日本', '小说', '三島由紀夫', '文洁若', '文学', '丰饶之海']"
10062,20年,"['魏斐德', '历史', '上海', '海外中国研究', '中国近代史', '上海三部曲', '社会学', '近现代史','桐华', '小说', '言情', '长相思', '长相思2', '古言', '爱情', '等待已久','伊斯兰', '宗教', '历史', '纪实', '译文纪实', '*上海译文出版社*', '冷战', '2017']"
10063,年少时的猛犸,"['美国', '政治学', '政治', '美国研究', '社会学', '政治哲学', '社会', '保守主义','茨威格', '小说', '奥地利', '外国文学', '奥地利文学', '经典', '文学', '名著','哲学', '别尔嘉耶夫', '存在主义', '流亡知识份子', '自由', '尼古拉·別爾嘉耶夫', '西方哲学', '俄国20世纪思想家','历史', '故宫', '纪实', '文化', '日本', '野岛刚', '台湾', '中国研究','政治学', '印度', '民主转型', '社会', '比较政治', '政治', '威权国家转型', '社会学','哲学', '克尔凯戈尔', '克尔凯郭尔', '日记', '丹麦', '存在主义', 'Kierkegaard', '西方哲学','中国', '外国人看中国', 'Peter_Hessler', '社会', '旅行', '文化', '涪陵', '长江','法学', '瞿同祖', '法律', '社会学', '中国法律与中国社会', '法制史', '历史', '法律社会学']"
10064,yuio,"['时间管理', '个人管理', '如何掌控自己的时间和生活', '自我管理', '励志', '管理', '时间', '成长','狄更斯', '外国文学', '双城记', '小说', '英国', '名著', '经典', '英国文学']"
10065,.MANGATA,"['阿乙', '小说', '中国文学', '中国', '推理', '鸟，看见我了', '中国当代文学', '鸟看见我了','悟空', '今何在', '情结', '青春', '奇幻', '一本值得买的书', '好书，值得一读', '网络文学','三色堇', '小说', '浮蓝', '青春', '青春文学', 'frank1127', '青春系', '同志','蒂姆伯顿', '绘本', 'TimBurton', '美国', '外国文学', '繪本', '画册', '导演@Tim_Burton']"
10066,章言麟,"['鲍鲸鲸', '小说', '等风来', '游记，或是指南', '风起之时，展翼之刻', '中国', '游记', '2013','心理学', '思维', '逻辑', '社会学', '心理', '进化论', '理性', '科普']"
10067,追求梦想的智智,"['个人管理', '自我管理', '精力管理', '管理', '自我完善', '成长', '心理学', '工具书','健康', '生活方式', '饮食理念', '植物性饮食', '减肥', '自我管理', '素食', '养生','心理学', '自我成长', '自我管理', '成功', '心理', '思维', '人生', '职场']"
